SKU,APORTE,FECHA_INICIO,FECHA_FIN,DEPTO,DPC/WEB,DESCRIPCION,P. TMP,P. AON,%APORTE,DEPARTAMENTO
12997775,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV WD8024.HEBA10.2/5KG+LED 32C5000,3228,3078,0.046468401,LINEA BLANCA
13028918,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SBS BOSCH KAN60A41K INOX 541 LT,2399.95,2249.95,0.062501302,LINEA BLANCA
13028919,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,COCINA BOSCH PRO 602 INOX 61 CMS,1349,1249,0.074128984,LINEA BLANCA
13028920,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,COCINA BOSCH PRO 603 INOX 61 CMS,1479,1379,0.067613252,LINEA BLANCA
13028921,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COCINA BOSCH EXPRESS I BLANCO,2199,2049,0.068212824,LINEA BLANCA
13028922,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COC. EMP BOSCH PLACA DE INDUC.PIE675N14E NEGRO 60,2969,2819,0.050522061,LINEA BLANCA
13030046,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRI COLDEX CN36 STEEL 326 LT MULTIFLOW FAST COOL,1599,1449,0.09380863,LINEA BLANCA
13053373,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV. SAM. WA-1DXPSFP+CAMARA S28,1595,1445,0.094043887,LINEA BLANCA
13065214,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV VENUS.WD-8122CVB+LCD 32C350,3264,3114,0.045955882,LINEA BLANCA
13100805,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REF. SAMSUNG 380 LTS. NF RT38YHSW1/XPE,1358,1258,0.073637703,LINEA BLANCA
13101316,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COCINA BOSCH EXPRESS I TIMER 76-5Q 1X INOX,2399,2249,0.062526053,LINEA BLANCA
13103677,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REFRIGERADORA INDURAMA RI-385 CR,1299,1199,0.076982294,LINEA BLANCA
13116859,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV GE WGA12405PBBX0 + MICROONDAS JES779PW,1559,1409,0.096215523,LINEA BLANCA
13166271,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COCINA INOX 80CM GENTILE KLIMATIC,1749,1599,0.085763293,LINEA BLANCA
13170650,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV LG DDD 16 KG T1604DPL 7SENSORES,1999,1849,0.075037519,LINEA BLANCA
13172791,12.3556,1/1/2021,1/31/2021,D200,20% DESDE PRECIO MASTER EN CP CON TR,ALISADOR FLOWER SG3531 SIEGEN,123.5555556,111.2,0.1,CUIDADO PERSONAL
13178471,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRI SBS DAEWOO RFF-740 SILVER,4477,4327,0.033504579,LINEA BLANCA
13262002,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF. GE PGMS5PJZSS FRENCH DOOR 706 LTS INOX,10999,10849,0.013637603,LINEA BLANCA
13262003,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF. GE PFMS5NJZSS FRENCH DOOR 710 LTS INOX,1095424,1040637,0.050014424,LINEA BLANCA
13262004,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF. GE GFML2KEYGS FRENCH DOOR 625 LTS CLEAN STEEL,4599,4449,0.032615786,LINEA BLANCA
13262005,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF. GE GDML3KCXGS BOTTOM FREEZER 655 LTS CLEAN S,3999,3849,0.037509377,LINEA BLANCA
